,ID,Driveline,Engine Type,Transmission,Make
20,2012 Chevrolet Colorado Crew Cab 1LT,Rear-wheel drive,Chevrolet 2.9L 4 Cylinder 185 hp 190 ft-lbs,4 Speed Automatic,Chevrolet
21,2011 Chevrolet Colorado Work Truck,Rear-wheel drive,Chevrolet 2.9L 4 Cylinder 185 hp 190 ft-lbs,5 Speed Manual,Chevrolet
22,2011 Chevrolet Colorado Extended Cab Work Truck,Rear-wheel drive,Chevrolet 2.9L 4 Cylinder 185 hp 190 ft-lbs,5 Speed Manual,Chevrolet
23,2011 Chevrolet Colorado Crew Cab 1LT,Rear-wheel drive,Chevrolet 2.9L 4 Cylinder 185 hp 190 ft-lbs,4 Speed Automatic,Chevrolet
24,2010 Chevrolet Colorado Work Truck,Rear-wheel drive,Chevrolet 2.9L 4 Cylinder 185 hp 190 ft-lbs,5 Speed Manual,Chevrolet
25,2010 Chevrolet Colorado Extended Cab Work Truck,Rear-wheel drive,Chevrolet 2.9L 4 Cylinder 185 hp 190 ft-lbs,5 Speed Manual,Chevrolet
26,2010 Chevrolet Colorado Crew Cab LT1,Rear-wheel drive,Chevrolet 2.9L 4 Cylinder 185 hp 190 ft-lbs,4 Speed Automatic,Chevrolet
27,2012 Chevrolet Express LS 1500,Rear-wheel drive,Chevrolet 5.3L 8 Cylinder 310 hp 334 ft-lbs FFV,4 Speed Automatic,Chevrolet
28,2012 Chevrolet Express LS 1500 AWD,All-wheel drive,Chevrolet 5.3L 8 Cylinder 310 hp 334 ft-lbs FFV,4 Speed Automatic,Chevrolet
29,2011 Chevrolet Express LS 1500,Rear-wheel drive,Chevrolet 5.3L 8 Cylinder 310 hp 334 ft-lbs FFV,4 Speed Automatic,Chevrolet
30,2011 Chevrolet Express LS 1500 AWD,All-wheel drive,Chevrolet 5.3L 8 Cylinder 310 hp 334 ft-lbs FFV,4 Speed Automatic,Chevrolet
31,2011 Chevrolet Express LS 2500,Rear-wheel drive,Chevrolet 4.8L 8 Cylinder 280 hp 295 ft-lbs FFV,6 Speed Automatic,Chevrolet
32,2011 Chevrolet Express LS 2500 6.0L,Rear-wheel drive,Chevrolet 6.0L 8 Cylinder 324 hp 373 ft-lbs FFV,6 Speed Automatic,Chevrolet
33,2010 Chevrolet Express LS 1500,Rear-wheel drive,Chevrolet 5.3L 8 Cylinder 310 hp 334 ft-lbs FFV,4 Speed Automatic,Chevrolet
34,2010 Chevrolet Express LS 1500 AWD,All-wheel drive,Chevrolet 5.3L 8 Cylinder 310 hp 334 ft-lbs FFV,4 Speed Automatic,Chevrolet
35,2011 Chevrolet Silverado 1500 Work Truck,Rear-wheel drive,Chevrolet 4.3L 6 Cylinder 195 hp 260 ft-lbs,4 Speed Automatic,Chevrolet
36,2011 Chevrolet Silverado 1500 Crew Cab Work Truck,Rear-wheel drive,Chevrolet 4.8L 8 Cylinder 302 hp 305 ft-lbs FFV,4 Speed Automatic,Chevrolet
37,2011 Chevrolet Silverado 1500 Extended Cab Work Truck,Rear-wheel drive,Chevrolet 4.3L 6 Cylinder 195 hp 260 ft-lbs,4 Speed Automatic,Chevrolet
38,2010 Chevrolet Silverado 1500 Extended Cab Work Truck,Rear-wheel drive,Chevrolet 4.3L 6 Cylinder 195 hp 260 ft-lbs,4 Speed Automatic,Chevrolet
39,2010 Chevrolet Silverado 1500 Work Truck,Rear-wheel drive,Chevrolet 4.3L 6 Cylinder 195 hp 260 ft-lbs,4 Speed Automatic,Chevrolet
40,2010 Chevrolet Silverado 1500 Crew Cab Work Truck,Rear-wheel drive,Chevrolet 4.8L 8 Cylinder 302 hp 305 ft-lbs FFV,4 Speed Automatic,Chevrolet
41,2011 Nissan 370Z NISMO,Rear-wheel drive,Nissan 3.7L 6 Cylinder 350hp 276 ft-lbs,6 Speed Manual,Nissan
42,2010 Nissan 370Z NISMO,Rear-wheel drive,Nissan 3.7L 6 Cylinder 350hp 276 ft-lbs,6 Speed Manual,Nissan
43,2009 Nissan 370Z NISMO,Rear-wheel drive,Nissan 3.7L 6 Cylinder 350hp 276 ft-lbs,6 Speed Manual,Nissan
44,2011 Volvo C30 T5,Front-wheel drive,Volvo 2.5L 5 Cylinder 227 hp 236 ft-lbs Turbo,6 Speed Manual,Volvo
45,2011 Volvo C30 T5 AT,Front-wheel drive,Volvo 2.5L 5 Cylinder 227 hp 236 ft-lbs Turbo,5 Speed Automatic,Volvo
46,2010 Volvo C30 T5 AT,Front-wheel drive,Volvo 2.5L 5 Cylinder 227 hp 236 ft-lbs Turbo,5 Speed Automatic,Volvo
47,2010 Volvo C30 T5,Front-wheel drive,Volvo 2.5L 5 Cylinder 227 hp 236 ft-lbs Turbo,6 Speed Manual,Volvo
48,2010 Bentley Brooklands,Rear-wheel drive,Bentley 6.8L 8 cylinder 530hp 774 ft-lbs Turbo,6 Speed Automatic,Bentley
49,2012 Bentley Continental Supersports Convertible,All-wheel drive,Bentley 6.0L 12 Cylinder 621 hp 590 ft-lbs FFV Turbo,6 Speed Automatic,Bentley
50,2012 Bentley Continental Supersports Coupe,All-wheel drive,Bentley 6.0L 12 Cylinder 621 hp 590 ft-lbs FFV Turbo,6 Speed Automatic Select Shift,Bentley
51,2011 Bentley Continental Supersports Convertible,All-wheel drive,Bentley 6.0L 12 Cylinder 621 hp 590 ft-lbs FFV Turbo,6 Speed Automatic,Bentley
52,2010 Bentley Continental Supersports,All-wheel drive,Bentley 6.0L 12 Cylinder 621 hp 590 ft-lbs FFV Turbo,6 Speed Automatic,Bentley
53,2012 Bentley Continental Flying Spur,All-wheel drive,Bentley 6.0L 12 Cylinder 552 hp 479 ft-lbs FFV Turbo,6 Speed Automatic,Bentley
54,2012 Bentley Continental Flying Spur Speed,All-wheel drive,Bentley 6.0L 12 Cylinder 600 hp 553 ft-lbs FFV Turbo,6 Speed Automatic,Bentley
55,2011 Bentley Continental Flying Spur Speed,All-wheel drive,Bentley 6.0L 12 Cylinder 600 hp 553 ft-lbs FFV Turbo,6 Speed Automatic,Bentley
56,2010 Bentley Continental Flying Spur Speed,All-wheel drive,Bentley 6.0L 12 cylinder 600hp 553 ft-lbs Turbo,6 Speed Automatic,Bentley
57,2010 Bentley Continental Flying Spur,All-wheel drive,Bentley 6.0L 12 cylinder 552 hp 479 ft-lbs Turbo,6 Speed Automatic,Bentley
58,2011 Volvo C70 T5,Front-wheel drive,Volvo 2.5L 5 Cylinder 227 hp 236 ft-lbs Turbo,5 Speed Automatic,Volvo
59,2010 Volvo C70 T5,Front-wheel drive,Volvo 2.5L 5 Cylinder 227 hp 236 ft-lbs Turbo,6 Speed Manual,Volvo
60,2010 Volvo C70 T5 AT,Front-wheel drive,Volvo 2.5L 5 Cylinder 227 hp 236 ft-lbs Turbo,5 Speed Automatic,Volvo
61,2010 Volvo S40 2.4i,Front-wheel drive,Volvo 2.4L 5 Cylinder 168 hp 166 ft-lbs,5 Speed Manual,Volvo
62,2010 Volvo S40 R-Design,Front-wheel drive,Volvo 2.5L 5 Cylinder 227 hp 236 ft-lbs Turbo,5 Speed Automatic,Volvo
63,2011 Volvo S40 T5,Front-wheel drive,Volvo 2.5L 5 Cylinder 227 hp 236 ft-lbs Turbo,5 Speed Automatic,Volvo
64,2010 Volvo S40 R-Design AWD,All-wheel drive,Volvo 2.5L 5 Cylinder 227 hp 236 ft-lbs Turbo,6 Speed Manual,Volvo
65,2012 Volvo S60 T5,Front-wheel drive,Volvo 2.5L 5 Cylinder 250 hp 266 ft-lbs Turbo,6 Speed Automatic Select Shift,Volvo
66,2012 Volvo S60 T6 AWD,All-wheel drive,Volvo 3.0 L 6 Cylinder 300 HP 325 ft-lbs Turbo,6 Speed Automatic Select Shift,Volvo
67,2012 Volvo S60 R-Design,All-wheel drive,Volvo 3.0 L 6 Cylinder 325 HP 354 ft-lbs Turbo,6 Speed Automatic Select Shift,Volvo
68,2011 Volvo S60 T6 AWD,All-wheel drive,Volvo 3.0 L 6 Cylinder 300 HP 325 ft-lbs Turbo,6 Speed Automatic,Volvo
69,2011 Volvo S80 3.2,Front-wheel drive,Volvo 3.2 L 6 cylinder 240 hp 236 ft-lbs,6 Speed Automatic Select Shift,Volvo
70,2010 Volvo S80 V8,All-wheel drive,Volvo 4.4L 8 Cylinder 311 hp 325 ft-lbs,6 Speed Automatic,Volvo
71,2010 Volvo S80 T6 AWD,All-wheel drive,Volvo 3.0L 6 Cylinder 281 hp 295 ft-lbs Turbo,6 Speed Automatic Select Shift,Volvo
72,2010 Volvo S80 3.2,Front-wheel drive,Volvo 3.2L 6 Cylinder 235 hp 236 ft-lbs,6 Speed Automatic,Volvo
73,2011 Volvo V50 T5,Front-wheel drive,Volvo 2.5L 5 Cylinder 227 hp 236 ft-lbs Turbo,5 Speed Automatic,Volvo
74,2010 Volvo V50 R-Design,All-wheel drive,Volvo 2.5L 5 Cylinder 227 hp 236 ft-lbs Turbo,6 Speed Manual,Volvo
75,2010 Volvo V50 2.4i,Front-wheel drive,Volvo 2.4L 5 Cylinder 168 hp 166 ft-lbs,5 Speed Automatic Select Shift,Volvo
76,2011 Volvo XC60 T6 AWD,All-wheel drive,Volvo 3.0 L 6 Cylinder 300 HP 325 ft-lbs Turbo,6 Speed Automatic,Volvo
77,2011 Volvo XC60 3.2,Front-wheel drive,Volvo 3.2 L 6 cylinder 240 hp 236 ft-lbs,6 Speed Automatic,Volvo
78,2010 Volvo XC60 T6 AWD,All-wheel drive,Volvo 3.0L 6 Cylinder 281 hp 295 ft-lbs Turbo,6 Speed Automatic Select Shift,Volvo
79,2010 Volvo XC60 3.2,Front-wheel drive,Volvo 3.2L 6 Cylinder 235 hp 236 ft-lbs,6 Speed Automatic,Volvo
80,2011 Volvo XC70 3.2,Front-wheel drive,Volvo 3.2 L 6 cylinder 240 hp 236 ft-lbs,6 Speed Automatic,Volvo
81,2011 Volvo XC70 T6 AWD,All-wheel drive,Volvo 3.0 L 6 Cylinder 300 HP 325 ft-lbs Turbo,6 Speed Automatic,Volvo
82,2010 Volvo XC70 T6 AWD,All-wheel drive,Volvo 3.0L 6 Cylinder 281 hp 295 ft-lbs Turbo,6 Speed Automatic,Volvo
83,2010 Volvo XC70 3.2,All-wheel drive,Volvo 3.2L 6 Cylinder 235 hp 236 ft-lbs,6 Speed Automatic,Volvo
84,2011 Toyota 4Runner SR5,Rear-wheel drive,Toyota 4.0L 6 Cylinder 270 hp 278 ft-lbs,5 Speed Automatic,Toyota
85,2011 Toyota 4Runner SR5 4WD,Four-wheel drive,Toyota 4.0L 6 Cylinder 270 hp 278 ft-lbs,5 Speed Automatic,Toyota
86,2011 Toyota 4Runner Trail,Four-wheel drive,Toyota 4.0L 6 Cylinder 270 hp 278 ft-lbs,5 Speed Automatic,Toyota
87,2011 Toyota 4Runner Limited,Rear-wheel drive,Toyota 4.0L 6 Cylinder 270 hp 278 ft-lbs,5 Speed Automatic,Toyota
88,2011 Toyota 4Runner  Limited 4WD,Four-wheel drive,Toyota 4.0L 6 Cylinder 270 hp 278 ft-lbs,5 Speed Automatic,Toyota
89,2011 Volvo XC90 3.2,Front-wheel drive,Volvo 3.2 L 6 cylinder 240 hp 236 ft-lbs,6 Speed Automatic,Volvo
90,2011 Volvo XC90 V8,All-wheel drive,Volvo 4.4L 8 Cylinder 311 hp 325 ft-lbs,6 Speed Automatic,Volvo
91,2010 Volvo XC90 3.2,Front-wheel drive,Volvo 3.2L 6 Cylinder 235 hp 236 ft-lbs,6 Speed Automatic,Volvo
92,2010 Volvo XC90 V8,All-wheel drive,Volvo 4.4L 8 Cylinder 311 hp 325 ft-lbs,6 Speed Automatic,Volvo
93,2010 Volvo V70 3.2,Front-wheel drive,Volvo 3.2L 6 Cylinder 235 hp 236 ft-lbs,6 Speed Automatic,Volvo
94,2010 Toyota 4Runner SR5,Rear-wheel drive,Toyota 2.7L 4 Cylinder 157 hp 178 ft-lbs,4 Speed Automatic,Toyota
95,2010 Toyota 4Runner SR5 V6,Rear-wheel drive,Toyota 4.0L 6 Cylinder 270 hp 278 ft-lbs,5 Speed Automatic,Toyota
96,2010 Toyota 4Runner SR5 V6 4WD,Four-wheel drive,Toyota 4.0L 6 Cylinder 270 hp 278 ft-lbs,5 Speed Automatic,Toyota
97,2010 Toyota 4Runner Trail,Four-wheel drive,Toyota 4.0L 6 Cylinder 270 hp 278 ft-lbs,5 Speed Automatic,Toyota
98,2010 Toyota 4Runner Limited,Rear-wheel drive,Toyota 4.0L 6 Cylinder 270 hp 278 ft-lbs,5 Speed Automatic,Toyota
99,2010 Toyota 4Runner Limited 4WD,Four-wheel drive,Toyota 4.0L 6 Cylinder 270 hp 278 ft-lbs,5 Speed Automatic,Toyota
100,2012 Audi A3 2.0 T,Front-wheel drive,Audi 2.0L 4 cylinder 200 hp 207 ft-lbs Turbo,6 Speed Manual,Audi
101,2010 Honda Accord EX-L V-6 Coup,Front-wheel drive,Honda 3.5L 6 Cylinder 271hp 251 ft-lbs,6 Speed Manual,Honda
102,2010 Honda Accord EX Coup AT,Front-wheel drive,Honda 2.4L 4 cylinder 190 hp 162 ft-lbs,5 Speed Automatic,Honda
103,2010 Honda Accord EX-L Coup,Front-wheel drive,Honda 2.4L 4 cylinder 190 hp 162 ft-lbs,5 Speed Manual,Honda
104,2010 Honda Accord EX-L Coup AT,Front-wheel drive,Honda 2.4L 4 cylinder 190 hp 162 ft-lbs,5 Speed Automatic,Honda
105,2010 Honda Accord EX-L V-6 Coup AT,Front-wheel drive,Honda 3.5L 6 Cylinder 271hp 251 ft-lbs,5 Speed Automatic,Honda
106,2010 Honda Accord EX Coup,Front-wheel drive,Honda 2.4L 4 cylinder 190 hp 162 ft-lbs,5 Speed Manual,Honda
107,2010 Honda Accord LX-S Coup AT,Front-wheel drive,Honda 2.4L 4 cylinder 190 hp 162 ft-lbs,5 Speed Automatic,Honda
108,2010 Honda Accord LX-S Coup,Front-wheel drive,Honda 2.4L 4 cylinder 190 hp 162 ft-lbs,5 Speed Manual,Honda
109,2011 Nissan 370Z Roadster,Rear-wheel drive,Nissan 3.7L 6 Cylinder 332 hp 270 ft-lbs,6 Speed Manual,Nissan
110,2011 Nissan 370Z Roadster AT,Rear-wheel drive,Nissan 3.7L 6 Cylinder 332 hp 270 ft-lbs,7 Speed Automatic Select Shift,Nissan
111,2011 Nissan 370Z Touring Roadster,Rear-wheel drive,Nissan 3.7L 6 Cylinder 332 hp 270 ft-lbs,6 Speed Manual,Nissan
112,2011 Nissan 370Z Touring Roadster AT,Rear-wheel drive,Nissan 3.7L 6 Cylinder 332 hp 270 ft-lbs,7 Speed Automatic Select Shift,Nissan
113,2010 Nissan 370Z Touring Roadster,Rear-wheel drive,Nissan 3.7L 6 Cylinder 332 hp 270 ft-lbs,6 Speed Manual,Nissan
114,2010 Nissan 370Z Roadster,Rear-wheel drive,Nissan 3.7L 6 Cylinder 332 hp 270 ft-lbs,6 Speed Manual,Nissan
115,2010 Nissan 370Z Roadster AT,Rear-wheel drive,Nissan 3.7L 6 Cylinder 332 hp 270 ft-lbs,7 Speed Automatic Select Shift,Nissan
116,2010 Nissan 370Z Touring Roadster AT,Rear-wheel drive,Nissan 3.7L 6 Cylinder 332 hp 270 ft-lbs,7 Speed Automatic Select Shift,Nissan
117,2011 Audi A3 2.0 T,Front-wheel drive,Audi 2.0L 4 cylinder 200 hp 207 ft-lbs Turbo,6 Speed Manual,Audi
118,2011 Nissan 370Z Coupe,Rear-wheel drive,Nissan 3.7L 6 Cylinder 332 hp 270 ft-lbs,6 Speed Manual,Nissan
119,2011 Nissan 370Z Touring Coupe,Rear-wheel drive,Nissan 3.7L 6 Cylinder 332 hp 270 ft-lbs,6 Speed Manual,Nissan
120,2011 Nissan 370Z Touring Coupe AT,Rear-wheel drive,Nissan 3.7L 6 Cylinder 332 hp 270 ft-lbs,7 Speed Automatic Select Shift,Nissan
122,2010 Audi A3 2.0 T,Front-wheel drive,Audi 2.0L 4 cylinder 200 hp 207 ft-lbs Turbo,6 Speed Manual,Audi
123,2010 Nissan 370Z Touring Coupe AT,Rear-wheel drive,Nissan 3.7L 6 Cylinder 332 hp 270 ft-lbs,7 Speed Automatic Select Shift,Nissan
124,2010 Nissan 370Z Coupe,Rear-wheel drive,Nissan 3.7L 6 Cylinder 332 hp 270 ft-lbs,6 Speed Manual,Nissan
125,2010 Nissan 370Z Touring Coupe,Rear-wheel drive,Nissan 3.7L 6 Cylinder 332 hp 270 ft-lbs,6 Speed Manual,Nissan
126,2010 Nissan 370Z Coupe AT,Rear-wheel drive,Nissan 3.7L 6 Cylinder 332 hp 270 ft-lbs,7 Speed Automatic Select Shift,Nissan
127,2012 Audi A4 Sedan 2.0 T Quattro,All-wheel drive,Audi 2.0L 4 cylinder 211 hp 258 ft-lbs Turbo,6 Speed Manual,Audi
128,2012 Audi A4 Sedan 2.0 T Quattro AT,All-wheel drive,Audi 2.0L 4 cylinder 211 hp 258 ft-lbs Turbo,8 Speed Automatic Select Shift,Audi
129,2011 Audi A4 Sedan 2.0 T Quattro,All-wheel drive,Audi 2.0L 4 cylinder 211 hp 258 ft-lbs Turbo,6 Speed Manual,Audi
130,2011 Audi A4 Sedan 2.0 T Quattro AT,All-wheel drive,Audi 2.0L 4 cylinder 211 hp 258 ft-lbs Turbo,8 Speed Automatic Select Shift,Audi
131,2012 Ford Fiesta S Sedan,Front-wheel drive,Ford 1.6L 4 Cylinder 120 hp 112 ft-lbs,5 Speed Manual,Ford
132,2012 Ford Fiesta SE Sedan,Front-wheel drive,Ford 1.6L 4 Cylinder 120 hp 112 ft-lbs,5 Speed Manual,Ford
133,2012 Ford Fiesta SEL Sedan,Front-wheel drive,Ford 1.6L 4 Cylinder 120 hp 112 ft-lbs,5 Speed Manual,Ford
134,2011 Ford Fiesta Sedan S,Front-wheel drive,Ford 1.6L 4 Cylinder 120 hp 112 ft-lbs,5 Speed Manual,Ford
135,2011 Ford Fiesta Sedan SE,Front-wheel drive,Ford 1.6L 4 Cylinder 120 hp 112 ft-lbs,5 Speed Manual,Ford
136,2011 Ford Fiesta Sedan SEL,Front-wheel drive,Ford 1.6L 4 Cylinder 120 hp 112 ft-lbs,5 Speed Manual,Ford
137,2011 Volvo C30 R-Design AT,Front-wheel drive,Volvo 2.5L 5 Cylinder 227 hp 236 ft-lbs Turbo,5 Speed Automatic,Volvo
138,2011 Volvo C30 R-Design,Front-wheel drive,Volvo 2.5L 5 Cylinder 227 hp 236 ft-lbs Turbo,6 Speed Manual,Volvo
139,2010 Volvo C30 R-Design AT,Front-wheel drive,Volvo 2.5L 5 Cylinder 227 hp 236 ft-lbs Turbo,5 Speed Automatic,Volvo
140,2010 Volvo C30 R-Design,Front-wheel drive,Volvo 2.5L 5 Cylinder 227 hp 236 ft-lbs Turbo,6 Speed Manual,Volvo
141,2010 Audi A4 Sedan 2.0 T Quattro AT,All-wheel drive,Audi 2.0L 4 cylinder 211 hp 258 ft-lbs Turbo,6 Speed Automatic Select Shift,Audi
142,2010 Audi A4 Sedan 2.0 T Quattro,All-wheel drive,Audi 2.0L 4 cylinder 211 hp 258 ft-lbs Turbo,6 Speed Manual,Audi
143,2010 Volvo S40 2.4i AT,Front-wheel drive,Volvo 2.4L 5 Cylinder 168 hp 166 ft-lbs,5 Speed Automatic,Volvo
144,2010 Volvo S40 R-Design AT AWD,All-wheel drive,Volvo 2.5L 5 Cylinder 227 hp 236 ft-lbs Turbo,5 Speed Automatic,Volvo
145,2012 Audi A4 Avant 2.0 T,All-wheel drive,Audi 2.0L 4 cylinder 211 hp 258 ft-lbs Turbo,8 Speed Automatic Select Shift,Audi
146,2011 Audi A4 Avant 2.0 T,All-wheel drive,Audi 2.0L 4 cylinder 211 hp 258 ft-lbs Turbo,8 Speed Automatic Select Shift,Audi
147,2010 Audi A4 Avant 2.0 T,All-wheel drive,Audi 2.0L 4 cylinder 211 hp 258 ft-lbs Turbo,6 Speed Automatic Select Shift,Audi
148,2011 Honda Accord EX Coup,Front-wheel drive,Honda 2.4L 4 cylinder 190 hp 162 ft-lbs,5 Speed Manual,Honda
149,2011 Honda Accord LX-S Coup AT,Front-wheel drive,Honda 2.4L 4 cylinder 190 hp 162 ft-lbs,5 Speed Automatic,Honda
150,2011 Honda Accord EX-L V-6 Coup,Front-wheel drive,Honda 3.5L 6 Cylinder 271hp 251 ft-lbs,6 Speed Manual,Honda
151,2011 Honda Accord LX-S Coup,Front-wheel drive,Honda 2.4L 4 cylinder 190 hp 162 ft-lbs,5 Speed Manual,Honda
152,2011 Honda Accord EX-L V-6 Coup AT,Front-wheel drive,Honda 3.5L 6 Cylinder 271hp 251 ft-lbs,5 Speed Automatic,Honda
153,2011 Honda Accord EX Coup AT,Front-wheel drive,Honda 2.4L 4 cylinder 190 hp 162 ft-lbs,5 Speed Automatic,Honda
154,2011 Honda Accord EX-L Coup,Front-wheel drive,Honda 2.4L 4 cylinder 190 hp 162 ft-lbs,5 Speed Automatic,Honda
155,2012 Ford Fiesta SE Hatchback,Front-wheel drive,Ford 1.6L 4 Cylinder 120 hp 112 ft-lbs,5 Speed Manual,Ford
156,2012 Ford Fiesta SES Hatchback,Front-wheel drive,Ford 1.6L 4 Cylinder 120 hp 112 ft-lbs,5 Speed Manual,Ford
157,2011 Ford Fiesta Hatchback SE,Front-wheel drive,Ford 1.6L 4 Cylinder 120 hp 112 ft-lbs,5 Speed Manual,Ford
158,2011 Ford Fiesta Hatchback SES,Front-wheel drive,Ford 1.6L 4 Cylinder 120 hp 112 ft-lbs,5 Speed Manual,Ford
159,2010 Honda Accord LX Sedan,Front-wheel drive,Honda 2.4L 4 cylinder 177 hp 161 ft-lbs,5 Speed Manual,Honda
160,2010 Honda Accord LX Sedan AT,Front-wheel drive,Honda 2.4L 4 cylinder 177 hp 161 ft-lbs,5 Speed Automatic,Honda
161,2010 Honda Accord LX-P Sedan,Front-wheel drive,Honda 2.4L 4 cylinder 177 hp 161 ft-lbs,5 Speed Manual,Honda
162,2010 Honda Accord LX-P Sedan AT,Front-wheel drive,Honda 2.4L 4 cylinder 177 hp 161 ft-lbs,5 Speed Automatic,Honda
163,2010 Honda Accord EX Sedan,Front-wheel drive,Honda 2.4L 4 cylinder 190 hp 162 ft-lbs,5 Speed Manual,Honda
164,2010 Honda Accord EX Sedan AT,Front-wheel drive,Honda 2.4L 4 cylinder 190 hp 162 ft-lbs,5 Speed Automatic,Honda
165,2010 Honda Accord EX-L Sedan,Front-wheel drive,Honda 2.4L 4 cylinder 190 hp 162 ft-lbs,5 Speed Manual,Honda
166,2010 Honda Accord EX-L Sedan AT,Front-wheel drive,Honda 2.4L 4 cylinder 190 hp 162 ft-lbs,5 Speed Automatic,Honda
167,2010 Honda Accord EX V-6 Sedan,Front-wheel drive,Honda 3.5L 6 Cylinder 271 hp 254 ft-lbs,5 Speed Automatic,Honda
168,2011 Toyota Avalon,Front-wheel drive,Toyota 3.5L 6 Cylinder 268 hp 248 ft-lbs,6 Speed Automatic Select Shift,Toyota
169,2011 Toyota Avalon Limited,Front-wheel drive,Toyota 3.5L 6 Cylinder 268 hp 248 ft-lbs,6 Speed Automatic Select Shift,Toyota
170,2009 Nissan 370Z Coupe AT,Rear-wheel drive,Nissan 3.7L 6 Cylinder 332 hp 270 ft-lbs,7 Speed Automatic,Nissan
171,2009 Nissan 370Z Touring Coupe AT,Rear-wheel drive,Nissan 3.7L 6 Cylinder 332 hp 270 ft-lbs,7 Speed Automatic Select Shift,Nissan
172,2009 Nissan 370Z Touring Coupe,Rear-wheel drive,Nissan 3.7L 6 Cylinder 332 hp 270 ft-lbs,6 Speed Manual,Nissan
173,2009 Nissan 370Z Coupe,Rear-wheel drive,Nissan 3.7L 6 Cylinder 332 hp 270 ft-lbs,6 Speed Manual,Nissan
174,2010 Toyota Avalon XL,Front-wheel drive,Toyota 3.5L 6 Cylinder 268 hp 248 ft-lbs,6 Speed Automatic Select Shift,Toyota
175,2010 Toyota Avalon XLS,Front-wheel drive,Toyota 3.5L 6 Cylinder 268 hp 248 ft-lbs,6 Speed Automatic Select Shift,Toyota
176,2010 Toyota Avalon Limited,Front-wheel drive,Toyota 3.5L 6 Cylinder 268 hp 248 ft-lbs,6 Speed Automatic Select Shift,Toyota
177,2011 Toyota Camry,Front-wheel drive,Toyota 2.5L 4 Cylinder 169 hp 167 ft-lbs,6 Speed Manual,Toyota
178,2011 Toyota Camry AT,Front-wheel drive,Toyota 2.5L 4 Cylinder 169 hp 167 ft-lbs,6 Speed Automatic Select Shift,Toyota
179,2011 Toyota Camry LE,Front-wheel drive,Toyota 2.5L 4 Cylinder 169 hp 167 ft-lbs,6 Speed Manual,Toyota
180,2011 Toyota Camry LE AT,Front-wheel drive,Toyota 2.5L 4 Cylinder 169 hp 167 ft-lbs,6 Speed Automatic Select Shift,Toyota
